experiment,mode,gamma,phase,phase_iteration,t,objective_estimate,reg_objective_estimate,sample_loss,beta_min,beta_max
adaptive gamma,adaptive,0.1,0,0,0,1.6151711549387222,64335.56642796648,1.5125947365173786,1.7064846416382253e-05,1.7064846416382253e-05
adaptive gamma,adaptive,0.1,0,1,1,1.6141938635692419,64335.56547968406,1.4603242149723112,1.7063839984431518e-05,1.7173514486898332e-05
adaptive gamma,adaptive,0.1,0,2,2,1.6131264629410744,64335.56449836053,1.4177897342201267,1.7062972960036845e-05,1.727807430309604e-05
adaptive gamma,adaptive,0.1,0,3,3,1.612062923043868,64335.56358986549,1.6540210298496332,1.7061899513034548e-05,1.7412761893584537e-05
adaptive gamma,adaptive,0.1,0,4,4,1.6113202598001632,64335.56298385199,1.8251762488760686,1.7061167094456637e-05,1.7479385961624758e-05
adaptive gamma,adaptive,0.1,0,5,5,1.6107872874248137,64335.562568895875,2.20958485403047,1.7060231773534846e-05,1.753732739199576e-05
adaptive gamma,adaptive,0.1,0,6,6,1.6107111565363659,64335.56251749882,1.6463609704593796,1.7057500697638637e-05,1.7524769849642958e-05
adaptive gamma,adaptive,0.1,0,7,7,1.6100800701217028,64335.562050347624,1.81448073001726,1.7056929382256952e-05,1.7571624690995643e-05
adaptive gamma,adaptive,0.1,0,8,8,1.6098725304251436,64335.561897594394,1.5135676556707185,1.7056727968527632e-05,1.757031571587409e-05
adaptive gamma,adaptive,0.1,0,9,9,1.6091814966668854,64335.56140962928,1.3612962153342567,1.7056549509828327e-05,1.7626031435993305e-05
adaptive gamma,adaptive,0.1,0,10,10,1.60838699664253,64335.56088520333,1.472043518913027,1.7056627105893415e-05,1.767741748805255e-05
adaptive gamma,adaptive,0.1,0,11,11,1.6076209190708417,64335.5604107716,2.034764008756033,1.705628308692273e-05,1.7770643507327754e-05
adaptive gamma,adaptive,0.1,0,12,12,1.6076950559906866,64335.5604599836,2.031138627861756,1.705545882571581e-05,1.7742261498751164e-05
adaptive gamma,adaptive,0.1,0,13,13,1.6076660062392998,64335.560457814114,1.6957167948201288,1.705420643892877e-05,1.7724014544623567e-05
adaptive gamma,adaptive,0.1,0,14,14,1.6071870011352365,64335.560177509455,1.6975090596009073,1.7053459542462224e-05,1.7779604823831637e-05
adaptive gamma,adaptive,0.1,0,15,15,1.6066991886052526,64335.55991204236,1.6950148626834909,1.7052635689700883e-05,1.7836841248268004e-05
adaptive gamma,adaptive,0.1,0,16,16,1.606146610402374,64335.55962999404,1.9414584886433421,1.7051434410504913e-05,1.7965042523462445e-05
adaptive gamma,adaptive,0.1,0,17,17,1.6060842345518433,64335.55961606446,1.8959560853661392,1.7050513583244432e-05,1.7982624593487738e-05
adaptive gamma,adaptive,0.1,0,18,18,1.6059078548162196,64335.559549947706,1.4762522139599252,1.704937513293126e-05,1.8038278929896374e-05
adaptive gamma,adaptive,0.1,0,19,19,1.6052883386800223,64335.55922179842,1.5300942324748912,1.7049447006692866e-05,1.8063808011938126e-05
adaptive gamma,adaptive,0.1,0,20,20,1.6048434214888516,64335.558999372646,1.2796585043531221,1.7049627277748603e-05,1.809484285491601e-05
adaptive gamma,adaptive,0.1,0,21,21,1.6040914208331407,64335.55865120585,1.7844846089055983,1.7050004446281218e-05,1.8121981276793506e-05
adaptive gamma,adaptive,0.1,0,22,22,1.6037942550446553,64335.55855023931,1.8288925333445314,1.7048784484346868e-05,1.8178681862264843e-05
adaptive gamma,adaptive,0.1,0,23,23,1.603816241871248,64335.558563248414,1.6220638209903484,1.7048672241565928e-05,1.8160807643909527e-05
adaptive gamma,adaptive,0.01,1,0,24,1.6035857245354836,6434.9990742536565,2.0554176722388355,1.7048851737177414e-05,1.8156247239927943e-05
adaptive gamma,adaptive,0.01,1,1,25,1.603204565589253,6434.9987208749135,1.816502946581672,1.7046618374145095e-05,1.8212825739518965e-05
adaptive gamma,adaptive,0.01,1,2,26,1.602479677671768,6434.998046581708,1.7524300598333846,1.7044828622172547e-05,1.8344539073653655e-05
adaptive gamma,adaptive,0.01,1,3,27,1.601587008094001,6434.997220663215,1.276831761848042,1.704282167756485e-05,1.8539798778656263e-05
adaptive gamma,adaptive,0.01,1,4,28,1.6001923934792401,6434.9959278582455,1.5124922562488328,1.7042416893751187e-05,1.8616246288472963e-05
adaptive gamma,adaptive,0.01,1,5,29,1.5993724195593455,6434.995172488496,1.7109491236003844,1.704218502042646e-05,1.8638282437284996e-05
adaptive gamma,adaptive,0.01,1,6,30,1.5985227694835784,6434.994398815779,1.7398904928147239,1.7040762724829963e-05,1.8777921471612162e-05
adaptive gamma,adaptive,0.01,1,7,31,1.5979881946258159,6434.993912719429,1.588384785593753,1.704025842625139e-05,1.8802552766393107e-05
adaptive gamma,adaptive,0.01,1,8,32,1.597141127716252,6434.9931443161395,1.7213854298981222,1.703965368050014e-05,1.88632842580333e-05
adaptive gamma,adaptive,0.01,1,9,33,1.5963035412697695,6434.9923914659985,1.4192473009313598,1.7038126089727118e-05,1.901043721308148e-05
adaptive gamma,adaptive,0.01,1,10,34,1.5952204544222743,6434.991417851283,1.378794036953579,1.7037740218420816e-05,1.9069292939970797e-05
adaptive gamma,adaptive,0.01,1,11,35,1.5940984329789594,6434.990414751769,1.2631500331532137,1.703742271505132e-05,1.9119617448871797e-05
adaptive gamma,adaptive,0.01,1,12,36,1.592756429901942,6434.989225132901,2.1171548638970505,1.7037127762075296e-05,1.9199845666731534e-05
adaptive gamma,adaptive,0.01,1,13,37,1.5925864637049545,6434.989078882898,1.8946241208901573,1.7035268221248897e-05,1.9196150810767588e-05
