t,erm_theta_objective
0,1.6691063371341408
1,1.6638646945380617
2,1.6585550428378413
3,1.6531756280333272
4,1.6477246253676494
5,1.6422001354675677
6,1.6366001802437253
7,1.6309226985362963
8,1.625165541490928
9,1.6193264676493235
10,1.6134031377382652
11,1.6073931091405174
12,1.6012938300306043
13,1.5951026331584028
14,1.5888167292632676
15,1.582433200101773
16,1.575948991072377
17,1.5693609034212064
18,1.5626655860141958
19,1.5558595266623632
20,1.548939042989269
21,1.541900272832304
22,1.53473916417321
23,1.5274514645976631
24,1.5200327102893534
25,1.5124782145709548
26,1.504783056012703
27,1.4969420661395387
28,1.4889498167798065
29,1.480800607113164
30,1.4724884504922788
31,1.464007061133299
32,1.4553498407934742
33,1.446509865581942
34,1.437479873081346
35,1.4282522499945978
36,1.418819020572908
37,1.4091718361287562
38,1.399301965991256
39,1.3892002903215872
40,1.3788572952733884
41,1.368263071057008
42,1.3574073135477374
43,1.3462793301657947
44,1.3348680508498487
45,1.3231620450446975
46,1.3111495457264903
47,1.298818481592938
48,1.2861565186488808
49,1.27315111251578
50,1.2597895728825015
51,1.2460591415887148
52,1.2319470858849833
53,1.2174408084367982
54,1.2025279756248686
55,1.1871966656301243
56,1.1714355376672196
57,1.1552340235316942
58,1.1385825423379228
59,1.1214727389308492
60,1.1038977459353005
61,1.0858524687409932
62,1.067333891885688
63,1.0483414042673314
64,1.0288771393613843
65,1.0089463251151263
66,0.9885576364153525
67,0.9677235409693082
68,0.9464606271146306
69,0.9247898995344604
70,0.9027370262103724
71,0.880332517393204
72,0.8576118152116146
73,0.8346152711910733
74,0.811387988958431
75,0.7879795113689189
76,0.7644433358121261
77,0.7408362489775957
78,0.7172174830045184
79,0.6936477083000928
80,0.6701878933311167
81,0.6468980766570352
82,0.6238361091840662
83,0.6010564327826386
84,0.5786089631486988
85,0.5565381391629529
86,0.5348821883518142
87,0.513672640024803
88,0.4929340968801183
89,0.4726842553444703
90,0.45293414737954624
91,0.4336885638665412
92,0.41494661281403583
93,0.39670236431699507
94,0.37894553743496084
95,0.3616621905449886
96,0.3448353847841021
97,0.32844579864469237
98,0.3124722796767513
99,0.2968923259987851
100,0.281682495662753
101,0.26681874583735626
102,0.25227670640378924
103,0.2380318941144604
104,0.22405987418781603
105,0.21033637632924024
106,0.19683737187566225
107,0.18353911821684715
108,0.17041817596937525
109,0.15745140365412202
110,0.1446159339124498
111,0.13188913462588936
112,0.11924855769902876
113,0.10667187773530296
114,0.09413682238289922
115,0.08162109575120657
116,0.06910229599412909
117,0.056557827920694415
118,0.04396481132212704
119,0.03129998559627267
120,0.018539611203652107
121,0.005659368507451967
122,-0.007365745363936305
123,-0.02056152083025231
124,-0.033954640296303795
125,-0.047572781306935874
126,-0.061444716538109345
127,-0.07560040811861363
128,-0.09007109297591348
129,-0.10488935488476847
130,-0.12008917762836091
131,-0.13570597211114466
132,-0.15177656834340764
133,-0.16833916090063378
134,-0.18543319370664535
135,-0.2030991667768745
136,-0.2213783438987496
137,-0.24031233619409986
138,-0.2599425322709791
139,-0.28030934154407466
140,-0.30145121381102064
141,-0.3234033961448644
142,-0.34619638883082854
143,-0.36985406718179764
144,-0.3943914479564988
145,-0.4198121007408977
146,-0.44610523947421354
147,-0.4732425807601707
148,-0.5011751262027768
149,-0.5298301155759817
150,-0.559108500735986
151,-0.5888833927699643
152,-0.6190000111801035
153,-0.6492776756130937
154,-0.6795142818177539
155,-0.7094934548390461
156,-0.7389941656085983
157,-0.7678020821448166
158,-0.7957214252180667
159,-0.8225857813866515
160,-0.8482663477330852
161,-0.8726764947865902
162,-0.8957722378395989
163,-0.9175489812840354
164,-0.9380355047220851
165,-0.957286442473966
166,-0.9753744591629958
167,-0.9923830447157969
168,-1.0084004837806921
169,-1.0235152140488757
170,-1.0378125382581427
171,-1.0513725087587737
172,-1.0642687439380385
173,-1.0765679342326322
174,-1.0883298254315332
175,-1.0996075091185
176,-1.11044789263901
177,-1.1208922580424807
178,-1.1309768490295817
179,-1.1407334471309896
180,-1.1501899142188563
181,-1.1593706893405302
182,-1.168297235031973
183,-1.1769884327744355
184,-1.1854609299244487
185,-1.1937294418832138
186,-1.2018070139093633
187,-1.2097052471208571
188,-1.2174344930790326
189,-1.2250040210345878
190,-1.2324221615268125
191,-1.2396964296166844
192,-1.2468336306328083
193,-1.2538399509339282
194,-1.2607210358510503
195,-1.2674820566692753
196,-1.2741277682433516
197,-1.2806625586097748
198,-1.2870904917587533
199,-1.2934153445581829
