t,mean_lambda_theta_objective,grad_norm
0,1.6121554676301857,0.17981977096238347
1,1.5792030776276458,0.18679521181357966
2,1.5435966310814364,0.19457440488722896
3,1.5049018421387463,0.20332871288865045
4,1.4625686699726044,0.2132767403983289
5,1.4158911042282547,0.2246923712787653
6,1.3639539586675946,0.23790644636366906
7,1.3055664807895946,0.253291986502252
8,1.2391890065588398,0.27121553477060173
9,1.1628738199118072,0.29193009131910747
10,1.0742696201232866,0.3153871985517209
11,0.9707794329653039,0.34097494329557315
12,0.8499912580420671,0.36726024626340725
13,0.7104589817621454,0.3918965084461525
14,0.5527378321341583,0.4118306510208084
15,0.3803450737232428,0.4237037473648838
16,0.20027555597155955,0.4240909688468459
17,0.022928424926276336,0.40945981140643023
18,-0.525444938362888,0.15045892041088002
19,-0.7197345128642951,0.4496363326736931
20,-1.0724202168277839,1.3784937878646544
21,-1.0916849719413886,1.6153656715443763
22,-1.5592787974788522,1.197798299405189
23,-2.2198938786339073,0.4506094225055353
24,-2.4461326372652152,0.19271384643908113
25,-2.5169548912199433,0.18006206611845132
26,-2.5675742489266176,0.22437989108741313
27,-2.6216349640904077,0.19068417770138246
28,-3.9098711193349223,0.6947842044660932
29,-4.492896780920656,0.5326347723249306
30,-4.6730354445808935,0.6472030434193794
31,-4.917337251688734,0.3300842418413273
32,-5.1220926295939195,0.23216268773357046
33,-5.2682177528695995,0.2861440524104356
34,-5.423381953992827,0.29732085013804493
35,-5.497439835443133,0.21279488564104704
36,-5.5225238693937015,0.2005648554674977
37,-5.628547332934977,0.12170399265059366
38,-5.691301323552867,0.22693640492511935
39,-5.792631629179487,0.18927281909811483
40,-5.955403179811777,0.13698196057632583
41,-6.019699561171472,0.1199791269888896
42,-6.045866084612323,0.11678416867736519
43,-6.074437218978983,0.09244190648651503
44,-6.321204443149815,0.3618659209810084
45,-6.339560401827402,0.29754589579688306
46,-6.40210207782978,0.20510127729551436
47,-6.466191710359424,0.07383188135245874
48,-6.477049260560218,0.04042519731231841
49,-6.483102876874259,0.04211385749900622
50,-6.495380141199771,0.06396613079454865
51,-6.502025141071748,0.06604798039447887
52,-6.511262007959348,0.03691144188450443
53,-6.516154470548216,0.014011123789458244
54,-6.517003280580744,0.014552152123227661
55,-6.5180613348530105,0.015799955548660878
56,-6.523339055390103,0.029015653587228265
57,-6.532080100074502,0.05875477499924522
58,-6.540205468902723,0.0541812544115282
59,-6.559756109567439,0.08620470697204077
60,-6.630698342907443,0.26540539127999213
61,-6.632546901297063,0.16886697523684846
62,-6.678011533906215,0.14794234814188373
63,-6.690199980657862,0.12366421606005773
64,-6.706085084162331,0.06719196050790681
65,-6.713909829812041,0.04995179930997465
66,-6.718125630896193,0.019480909092792875
67,-6.718791468445163,0.014936305453460598
68,-6.7190503612121955,0.006201840938039684
69,-6.719162039440851,0.006033888166037654
70,-6.719704300410164,0.011317931821921234
71,-6.720493367970338,0.01624655389854286
72,-6.722337238223009,0.02090509795483235
73,-6.723145710202158,0.06462076635280661
74,-6.729937830394701,0.0307421217539286
75,-6.762230500685789,0.07888891698528457
76,-6.866149942942238,0.2775623389637074
77,-6.930873966903077,0.14349585937322254
78,-7.000454988269403,0.06154396148577607
79,-7.004132930830053,0.06651465567625757
